angle, fsin, fcos, sin, cos, dsin, dcos
255.76, -0.9692738567985852, -0.24598412657485783, -0.9692738567985852, -0.24598412657485783, 0, 0/n
255.77, -0.969316774364646, -0.24581495262761782, -0.969316774364646, -0.24581495262761782, 0, 0/n
255.78, -0.9693596624036294, -0.24564577119242617, -0.9693596624036294, -0.24564577119242617, 0, 0/n
255.79, -0.9694025209142288, -0.24547658227443644, -0.9694025209142288, -0.24547658227443644, 0, 0/n
255.8, -0.9694453498951389, -0.24530738587880244, -0.9694453498951389, -0.24530738587880244, 0, 0/n
255.81, -0.969488149345055, -0.24513818201067814, -0.969488149345055, -0.24513818201067814, 0, 0/n
255.82, -0.9695309192626733, -0.24496897067521783, -0.9695309192626733, -0.24496897067521783, 0, 0/n
255.83, -0.969573659646691, -0.24479975187757594, -0.969573659646691, -0.24479975187757594, 0, 0/n
255.84, -0.969616370495806, -0.2446305256229072, -0.969616370495806, -0.2446305256229072, 0, 0/n
255.85, -0.9696590518087175, -0.24446129191636654, -0.9696590518087175, -0.24446129191636654, 0, 0/n
255.86, -0.9697017035841251, -0.2442920507631091, -0.9697017035841251, -0.2442920507631091, 0, 0/n
255.87, -0.9697443258207299, -0.24412280216829021, -0.9697443258207299, -0.24412280216829021, 0, 0/n
255.88, -0.9697869185172332, -0.24395354613706557, -0.9697869185172332, -0.24395354613706557, 0, 0/n
255.89, -0.9698294816723376, -0.24378428267459099, -0.9698294816723376, -0.24378428267459099, 0, 0/n
255.9, -0.9698720152847468, -0.2436150117860225, -0.9698720152847468, -0.2436150117860225, 0, 0/n
255.91, -0.969914519353165, -0.24344573347651638, -0.969914519353165, -0.24344573347651638, 0, 0/n
255.92, -0.9699569938762973, -0.24327644775122917, -0.9699569938762973, -0.24327644775122917, 0, 0/n
255.93, -0.9699994388528501, -0.2431071546153176, -0.9699994388528501, -0.2431071546153176, 0, 0/n
255.94, -0.9700418542815303, -0.2429378540739386, -0.9700418542815303, -0.2429378540739386, 0, 0/n
255.95, -0.970084240161046, -0.24276854613224944, -0.970084240161046, -0.24276854613224944, 0, 0/n
255.96, -0.9701265964901058, -0.24259923079540746, -0.9701265964901058, -0.24259923079540746, 0, 0/n
255.97, -0.9701689232674198, -0.24242990806857034, -0.9701689232674198, -0.24242990806857034, 0, 0/n
255.98, -0.9702112204916983, -0.2422605779568959, -0.9702112204916983, -0.2422605779568959, 0, 0/n
255.99, -0.970253488161653, -0.24209124046554228, -0.970253488161653, -0.24209124046554228, 0, 0/n
256, -0.9702957262759965, -0.24192189559966779, -0.9702957262759965, -0.24192189559966779, 0, 0/n
256.01, -0.9703379348334419, -0.24175254336443094, -0.9703379348334419, -0.24175254336443094, 0, 0/n
256.02, -0.9703801138327036, -0.24158318376499052, -0.9703801138327036, -0.24158318376499052, 0, 0/n
256.03, -0.9704222632724969, -0.24141381680650464, -0.9704222632724967, -0.2414138168065055, -0.0000000000000002220446049250313, 0.0000000000000008604228440844963/n
256.04, -0.9704643831515374, -0.24124444249413513, -0.9704643831515374, -0.24124444249413513, 0, 0/n
256.05, -0.9705064734685425, -0.24107506083303878, -0.9705064734685425, -0.24107506083303878, 0, 0/n
256.06, -0.9705485342222298, -0.24090567182837616, -0.9705485342222298, -0.24090567182837616, 0, 0/n
256.07, -0.9705905654113182, -0.24073627548530716, -0.9705905654113182, -0.24073627548530716, 0, 0/n
256.08, -0.9706325670345273, -0.24056687180899183, -0.9706325670345273, -0.24056687180899183, 0, 0/n
256.09, -0.9706745390905779, -0.2403974608045897, -0.9706745390905777, -0.24039746080459057, -0.0000000000000002220446049250313, 0.0000000000000008604228440844963/n
256.1, -0.9707164815781909, -0.24022804247726304, -0.9707164815781909, -0.24022804247726304, 0, 0/n
256.11, -0.9707583944960889, -0.2400586168321726, -0.9707583944960889, -0.2400586168321726, 0, 0/n
256.12, -0.9708002778429954, -0.2398891838744777, -0.9708002778429954, -0.2398891838744777, 0, 0/n
